#query	COG_category	Description	Preferred_name	GOs	KEGG_ko	KEGG_Pathway	KEGG_Module	PFAMs
NODE_473_length_1400_cov_0.761905_1	T	disease resistance protein						NB-ARC,PAH
NODE_473_length_1400_cov_0.761905_2	L	Mitochondrial protein						RVT_2,Retrotran_gag_2,Retrotran_gag_3,Retrotrans_gag,gag_pre-integrs,rve,zf-CCHC
NODE_476_length_1386_cov_1.013720_1	L	Retrotransposon gag protein						Retrotrans_gag
NODE_477_length_1388_cov_0.967201_1	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_478_length_1385_cov_0.639969_1	A	ATP-dependent RNA helicase	DHX35	GO:0000375,GO:0000377,GO:0000398,GO:0003674,GO:0003676,GO:0003723,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005681,GO:0005737,GO:0005829,GO:0005911,GO:0006139,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0008380,GO:0009506,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0030054,GO:0032991,GO:0034641,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0055044,GO:0070035,GO:0071704,GO:0090304,GO:0097159,GO:0140098,GO:1901360,GO:1901363,GO:1990904	ko:K13117		M00355	AAA_22,HA2,Helicase_C,OB_NTP_bind
NODE_478_length_1385_cov_0.639969_2	L	transposition, RNA-mediated						Asp_protease_2,RVT_1,Retrotrans_gag,rve
NODE_482_length_1387_cov_0.672519_1	L	transposition, RNA-mediated						Retrotrans_gag
NODE_482_length_1387_cov_0.672519_2	L	transposition, RNA-mediated						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_485_length_1383_cov_0.771057_1	S	Plant mobile domain						PMD
NODE_485_length_1383_cov_0.771057_2	S	Serine threonine-protein phosphatase 7 long form homolog						PMD
NODE_487_length_1380_cov_0.722393_2	S	BEST Arabidopsis thaliana protein match is			ko:K14487,ko:K18195	ko04075,map04075		DUF4283,RVT_1,zf-CCHC_4,zf-RVT
NODE_489_length_1380_cov_0.866462_1	S	Reverse transcriptase-like						RVT_3,zf-RVT
NODE_500_length_1366_cov_37.458495_1	L	8-hydroxy-dADP phosphatase activity						Retrotrans_gag
NODE_506_length_1362_cov_1.211673_1	S	Protein FAR1-RELATED SEQUENCE 5-like						FAR1,MULE,SWIM
NODE_507_length_1359_cov_2.227769_2	L	transposition, RNA-mediated						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_517_length_1344_cov_1.385951_1	S	transposon protein						DUF4216,DUF4218,Transpos_assoc,Transposase_21
NODE_518_length_1343_cov_1.095577_1	S	Domain of unknown function (DUF4218)						DUF4216,DUF4218,Transpos_assoc,Transposase_21
NODE_518_length_1343_cov_1.095577_2	S	source UniProtKB						DUF4216,DUF4218,Transpos_assoc,Transposase_21
NODE_523_length_1337_cov_0.633333_1	L	ribonuclease H protein						RVT_1,RVT_3,zf-RVT
NODE_525_length_1333_cov_0.800159_2	S	Reverse transcriptase-like						RVT_3,zf-RVT
NODE_526_length_1331_cov_1.263955_1	L	transposition, RNA-mediated						Retrotrans_gag
NODE_526_length_1331_cov_1.263955_2	E	Uncharacterized protein K02A2.6-like		GO:0000943,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0003887,GO:0003964,GO:0004518,GO:0004540,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006259,GO:0006278,GO:0006508,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0019538,GO:0032196,GO:0032197,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0090501,GO:0097159,GO:0140096,GO:0140097,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576				RVT_1,RVT_3,Retrotrans_gag,rve
NODE_527_length_1331_cov_0.567783_2	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_528_length_1330_cov_1.397446_1	D	Belongs to the helicase family			ko:K07466,ko:K15255	ko03030,ko03420,ko03430,ko03440,ko03460,map03030,map03420,map03430,map03440,map03460	M00288	Helitron_like_N,Herpes_Helicase,PIF1
NODE_531_length_1328_cov_0.363709_1	L	Uncharacterized protein K02A2.6-like		GO:0000943,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0003887,GO:0003964,GO:0004518,GO:0004540,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006259,GO:0006278,GO:0006508,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0019538,GO:0032196,GO:0032197,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0090501,GO:0097159,GO:0140096,GO:0140097,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576				RVT_1,RVT_3,rve
NODE_535_length_1326_cov_1.146517_1	L	Retrotransposon gag protein						Retrotrans_gag
NODE_536_length_1324_cov_4.708099_1	S	Protein FAR1-RELATED SEQUENCE 5-like						FAR1,MULE,SWIM
NODE_541_length_1319_cov_0.710145_1	S	Reverse transcriptase (RNA-dependent DNA polymerase)						DUF4283,RVT_1,RVT_3,zf-RVT
NODE_543_length_1316_cov_14.899112_1	L	strictosidine synthase activity						Retrotrans_gag,rve
NODE_545_length_1316_cov_0.508475_1	S	Reverse transcriptase (RNA-dependent DNA polymerase)						DUF4283,RVT_1,RVT_3,zf-RVT
NODE_546_length_1315_cov_1.075929_1	L	DDE superfamily endonuclease						DDE_Tnp_4
NODE_548_length_1313_cov_1.448220_1	S	ribosomal protein S4	rps4	GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006417,GO:0006450,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010608,GO:0010628,GO:0019222,GO:0019843,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032268,GO:0032270,GO:0034248,GO:0034250,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0045727,GO:0045903,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0060255,GO:0065007,GO:0065008,GO:0080090,GO:0097159,GO:1901363,GO:2000112	ko:K02986	ko03010,map03010	M00178,M00179	S4
NODE_553_length_1309_cov_1.133117_1	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_560_length_1301_cov_1.041667_1	S	source UniProtKB						DUF4216,DUF4218,Transpos_assoc,Transposase_21
NODE_561_length_1301_cov_0.698529_1	E	Uncharacterized protein K02A2.6-like		GO:0000943,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0003887,GO:0003964,GO:0004518,GO:0004540,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006259,GO:0006278,GO:0006508,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0019538,GO:0032196,GO:0032197,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0090501,GO:0097159,GO:0140096,GO:0140097,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576				RVT_1,RVT_3,Retrotrans_gag,rve
NODE_562_length_1300_cov_1.044971_1	M	ATPase activity, coupled to transmembrane movement of substances			ko:K08504	ko04130,map04130		DUF4283,Exo_endo_phos,RVT_1,zf-RVT
NODE_563_length_1298_cov_0.572363_2	L	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,rve
NODE_564_length_1300_cov_0.537204_1	L	Retrotransposon gag protein						Retrotrans_gag
NODE_570_length_1290_cov_1.862325_1	S	Transposase-associated domain						Transpos_assoc,Transposase_21
NODE_571_length_1289_cov_0.497115_1	S	Protein FAR1-RELATED SEQUENCE 5-like						FAR1,MULE,SWIM
NODE_572_length_1287_cov_0.638843_1	L	Retrotransposon gag protein						Retrotrans_gag
NODE_577_length_1285_cov_2.347682_1	L	strictosidine synthase activity						Asp_protease_2,RVT_1,Retrotrans_gag,rve
NODE_587_length_1278_cov_0.512073_1	L	Retrotransposon gag protein						Retrotrans_gag
NODE_588_length_1274_cov_0.920635_1	S	Reverse transcriptase (RNA-dependent DNA polymerase)						DUF4283,RVT_1,RVT_3,zf-RVT
NODE_590_length_1270_cov_1.007544_1	L	DDE superfamily endonuclease						DDE_Tnp_4
NODE_593_length_1264_cov_0.501264_1	T	serine threonine-protein kinase		GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004693,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0051726,GO:0065007,GO:0071704,GO:0071944,GO:0097472,GO:0140096,GO:1901564	ko:K08819			Pkinase,WRKY
NODE_595_length_1262_cov_0.456540_1	L	transposition, RNA-mediated						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_595_length_1262_cov_0.456540_2	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_604_length_1256_cov_0.776081_2	S	source UniProtKB						Peptidase_C48,Transposase_24
NODE_605_length_1252_cov_1.051064_1	T	ATPase activity, coupled to transmembrane movement of substances						DUF4283,RVT_1,zf-RVT
NODE_607_length_1251_cov_1.453152_1	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_613_length_1247_cov_1.109402_1	S	Reverse transcriptase-like						RVT_3,zf-RVT
NODE_616_length_1245_cov_1.171942_2	S	Plant mobile domain						PMD
NODE_618_length_1243_cov_1.966552_1	S	Domain of unknown function (DUF4216)						DUF4216,DUF4218
NODE_619_length_1243_cov_0.684391_1	L	Uncharacterized protein K02A2.6-like		GO:0000943,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0003887,GO:0003964,GO:0004518,GO:0004540,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006259,GO:0006278,GO:0006508,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0019538,GO:0032196,GO:0032197,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0090501,GO:0097159,GO:0140096,GO:0140097,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576				RVT_1,RVT_3,rve
NODE_622_length_1241_cov_0.614261_1	T	belongs to the protein kinase superfamily			ko:K04733	ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164	M00686	Pkinase,Pkinase_Tyr
NODE_622_length_1241_cov_0.614261_2	E	Ribonuclease H protein						RVT_3
NODE_624_length_1234_cov_0.772884_1	L	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_630_length_1228_cov_0.547350_2	S	isoform X1						DBD_Tnp_Mut,MULE,SWIM
NODE_631_length_1225_cov_1.330139_1	J	Ribosomal protein S14p/S29e						Ribosomal_S14
NODE_632_length_1225_cov_1.306620_2	L	transposition, RNA-mediated						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_636_length_1219_cov_0.885289_1	S	Reverse transcriptase (RNA-dependent DNA polymerase)						DUF4283,RVT_1,RVT_3,zf-RVT
NODE_642_length_1209_cov_0.516271_3	E	Uncharacterized protein K02A2.6-like		GO:0000943,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0003887,GO:0003964,GO:0004518,GO:0004540,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006259,GO:0006278,GO:0006508,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0019538,GO:0032196,GO:0032197,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0090501,GO:0097159,GO:0140096,GO:0140097,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576				RVT_1,RVT_3,Retrotrans_gag,rve
NODE_645_length_1213_cov_0.953345_1	L	ribonuclease H protein						DUF4283,RVT_1,RVT_3,zf-CCHC_4,zf-RVT
NODE_647_length_1204_cov_0.845815_1	E	Uncharacterized protein K02A2.6-like			ko:K07478			G-patch,RVT_1,RVT_3,Retrotrans_gag,rve
NODE_649_length_1210_cov_0.561233_1	L	transposition, RNA-mediated						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_650_length_1212_cov_0.534802_2								DBD_Tnp_Mut,MULE,SWIM
NODE_653_length_1208_cov_25.913351_1	L	strictosidine synthase activity						RVT_1,Retrotrans_gag,rve
NODE_654_length_1208_cov_6.481874_1	KLT	protein kinase activity						Asp_protease_2,RVT_1,Retrotrans_gag,rve
NODE_655_length_1208_cov_0.480990_1	T	Disease resistance protein		GO:0005575,GO:0005623,GO:0005886,GO:0006950,GO:0006952,GO:0007154,GO:0007165,GO:0008150,GO:0009987,GO:0016020,GO:0023052,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071944				LRR_8,NB-ARC
NODE_660_length_1205_cov_0.716312_1	D	Belongs to the helicase family			ko:K15255			Helitron_like_N,PIF1
NODE_661_length_1195_cov_0.839111_1	T	ATPase activity, coupled to transmembrane movement of substances						DUF4283,RVT_1,zf-RVT
NODE_666_length_1199_cov_0.840463_1	O	DNA RNA polymerases superfamily protein						Chromo,RVT_1,Retrotrans_gag,rve,zf-H2C2
NODE_667_length_1197_cov_0.799107_1	S	FAR1 DNA-binding domain						FAR1,MULE,SWIM
NODE_668_length_1196_cov_1.282395_1	L	Pentatricopeptide repeat-containing protein		GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004518,GO:0004519,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:1901360,GO:1901363				PPR,PPR_2
NODE_670_length_1193_cov_0.555556_1	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_676_length_1188_cov_0.613861_1	T	ATPase activity, coupled to transmembrane movement of substances			ko:K08504	ko04130,map04130		DUF4283,RVT_1,zf-RVT
NODE_678_length_1186_cov_14.706943_1	KLT	protein kinase activity						Asp_protease_2,RVT_1,Retrotrans_gag,rve
NODE_682_length_1184_cov_0.945799_1	S	Protein FAR1-RELATED SEQUENCE 5-like						FAR1,MULE,SWIM
NODE_686_length_1183_cov_0.775566_1	M	aspartic-type endopeptidase activity	pepA	GO:0003674,GO:0003824,GO:0004175,GO:0004190,GO:0005575,GO:0005576,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009056,GO:0009057,GO:0016787,GO:0019538,GO:0030163,GO:0043170,GO:0044238,GO:0070001,GO:0070011,GO:0071704,GO:0140096,GO:1901564,GO:1901565,GO:1901575	ko:K06004			Asp,TAXi_C,TAXi_N
NODE_687_length_1182_cov_0.715837_1	L	Retrotransposon gag protein						Retrotrans_gag
NODE_687_length_1182_cov_0.715837_2	L	transposition, RNA-mediated						Retrotrans_gag
NODE_690_length_1178_cov_2.321526_2	T	Reverse transcriptase (RNA-dependent DNA polymerase)						RVT_2
NODE_695_length_1174_cov_1.654512_1	S	Domain of unknown function (DUF4216)						DUF4216,DUF4218
NODE_697_length_1173_cov_0.763686_1	S	source UniProtKB						DUF4216,DUF4218,Transpos_assoc,Transposase_21
NODE_697_length_1173_cov_0.763686_2	S	source UniProtKB						DUF4216,DUF4218,Transpos_assoc,Transposase_21
NODE_702_length_1170_cov_0.743824_1	L	ribonuclease H protein						RVT_1,RVT_3,zf-RVT
NODE_703_length_1170_cov_0.547118_1	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_707_length_1165_cov_1.710478_1	C	NADH dehydrogenase ubiquinone iron-sulfur protein 2-like						Complex1_49kDa
NODE_708_length_1165_cov_0.549632_1	L	transposition, RNA-mediated						Retrotrans_gag
NODE_710_length_1164_cov_1.001840_1	L	Retrotransposon gag protein						Retrotrans_gag
NODE_724_length_1152_cov_1.414884_1	A	Intron maturase, type II family protein	matR					Intron_maturas2
NODE_726_length_1149_cov_1.198694_1	I	Belongs to the terpene cyclase mutase family			ko:K01853	ko00100,ko01100,ko01110,map00100,map01100,map01110		SQHop_cyclase_C,SQHop_cyclase_N
NODE_727_length_1149_cov_0.918843_1	L	transposition, RNA-mediated						G-patch
NODE_728_length_1149_cov_0.805037_1	L	nuclease HARBI1						DDE_Tnp_4,Myb_DNA-bind_3
NODE_730_length_1148_cov_0.836601_1	D	Belongs to the helicase family			ko:K07466,ko:K15255	ko03030,ko03420,ko03430,ko03440,ko03460,map03030,map03420,map03430,map03440,map03460	M00288	Helitron_like_N,Herpes_Helicase,PIF1
NODE_731_length_1147_cov_1.388785_1	O	DNA RNA polymerases superfamily protein						
NODE_733_length_1147_cov_1.244860_1	L	ribonuclease H protein						RVT_1,RVT_3,zf-RVT
NODE_734_length_1147_cov_1.181308_2	L	transposition, RNA-mediated						Retrotrans_gag
NODE_737_length_1146_cov_0.659495_1	S	Protein FAR1-RELATED SEQUENCE 5-like			ko:K17604			FAR1,MULE,SWIM
NODE_738_length_1145_cov_15.819288_1	L	transposition, RNA-mediated						Asp_protease_2
NODE_740_length_1144_cov_1.323336_1	L	transposition, RNA-mediated						RVT_1,Retrotrans_gag,rve
NODE_745_length_1142_cov_1.094836_1	S	Reverse transcriptase (RNA-dependent DNA polymerase)						DUF4283,RVT_1,RVT_3,zf-RVT
NODE_745_length_1142_cov_1.094836_2	S	BEST Arabidopsis thaliana protein match is			ko:K14487,ko:K18195	ko04075,map04075		DUF4283,RVT_1,zf-CCHC_4,zf-RVT
NODE_755_length_1135_cov_0.598299_1	L	transposition, RNA-mediated						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_761_length_1132_cov_1.282464_1	L	Reverse transcriptase (RNA-dependent DNA polymerase)						RVT_1,RVT_3
NODE_762_length_1132_cov_0.823697_1	S	transposon protein						DUF4218,Transpos_assoc,Transposase_21
NODE_769_length_1127_cov_0.496190_2	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_772_length_1126_cov_0.887512_1	L	Reverse transcriptase (RNA-dependent DNA polymerase)						RVT_2
NODE_773_length_1123_cov_4.260994_1	J	transposition, RNA-mediated						Asp_protease_2,Retrotrans_gag
NODE_779_length_1119_cov_0.550864_1	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_780_length_1116_cov_0.523992_2	S	Protein FAR1-RELATED SEQUENCE						DBD_Tnp_Mut,MULE,SWIM
NODE_784_length_1118_cov_0.698367_1	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_785_length_1117_cov_1.069231_1	O	heat shock protein	hsp90	GO:0002376,GO:0003674,GO:0003824,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005773,GO:0005774,GO:0005794,GO:0005829,GO:0005886,GO:0006457,GO:0006950,GO:0006952,GO:0006955,GO:0008150,GO:0009266,GO:0009408,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009605,GO:0009607,GO:0009617,GO:0009628,GO:0009814,GO:0009816,GO:0009987,GO:0010035,GO:0010038,GO:0012505,GO:0016020,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022607,GO:0030312,GO:0031090,GO:0031974,GO:0031981,GO:0034622,GO:0042221,GO:0042742,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044428,GO:0044434,GO:0044435,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045087,GO:0048046,GO:0050896,GO:0051131,GO:0051592,GO:0051704,GO:0051707,GO:0051716,GO:0061077,GO:0065003,GO:0070013,GO:0070887,GO:0071241,GO:0071248,GO:0071277,GO:0071840,GO:0071944,GO:0098542,GO:0098588,GO:0098805	ko:K04079	ko04141,ko04151,ko04217,ko04612,ko04621,ko04626,ko04657,ko04659,ko04914,ko04915,ko05200,ko05215,ko05418,map04141,map04151,map04217,map04612,map04621,map04626,map04657,map04659,map04914,map04915,map05200,map05215,map05418		HATPase_c,HSP90
NODE_794_length_1112_cov_0.735266_1	L	cysteine-rich RLK (RECEPTOR-like protein kinase) 8						RVT_2,Retrotran_gag_2,gag_pre-integrs,rve
NODE_795_length_1112_cov_0.668599_2	S	MuDR family transposase						DBD_Tnp_Mut,MULE,SWIM
NODE_795_length_1112_cov_0.668599_3	S	MuDR family transposase						DBD_Tnp_Mut,MULE,SWIM
NODE_800_length_1103_cov_1.020349_1	L	gag-polypeptide of LTR copia-type						Retrotran_gag_2
NODE_804_length_1107_cov_0.600971_1	L	ribonuclease H protein						RVT_1,RVT_3,zf-RVT
NODE_812_length_1102_cov_0.803902_1	L	ribonuclease H protein						RVT_1,RVT_3,zf-RVT
NODE_813_length_1102_cov_0.763902_1	L	zinc finger						Retrotrans_gag,zf-CCHC
NODE_814_length_1101_cov_0.739258_1	T	Protein kinase domain		GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018105,GO:0018193,GO:0018209,GO:0019538,GO:0023052,GO:0035556,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0046777,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071704,GO:0071944,GO:0140096,GO:1901564	ko:K08789			Pkinase
NODE_823_length_1099_cov_1.136986_1	S	source UniProtKB						DUF4216,DUF4218,Transpos_assoc,Transposase_21
NODE_827_length_1098_cov_0.899119_1	S	Protein FAR-RED IMPAIRED RESPONSE		GO:0003674,GO:0003700,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0007154,GO:0007165,GO:0007602,GO:0008150,GO:0009314,GO:0009416,GO:0009581,GO:0009582,GO:0009583,GO:0009585,GO:0009605,GO:0009628,GO:0009639,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010017,GO:0010018,GO:0010218,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0023052,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0042752,GO:0042753,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0045893,GO:0045935,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051606,GO:0051716,GO:0060255,GO:0065007,GO:0071214,GO:0071478,GO:0071482,GO:0071489,GO:0071490,GO:0080090,GO:0104004,GO:0140110,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141				FAR1,MULE,SWIM
NODE_828_length_1098_cov_0.811949_1	S	source UniProtKB						DUF4216,DUF4218,Transpos_assoc,Transposase_21
NODE_829_length_1098_cov_0.617042_1	T	Cysteine-rich receptor-like protein kinase			ko:K01183	ko00520,ko01100,map00520,map01100		Glyco_hydro_18,Pkinase,Pkinase_Tyr
NODE_830_length_1097_cov_1.145098_1	S	Leucine-rich repeat resistance protein						Transposase_24
NODE_831_length_1096_cov_1.326791_2	S	Domain of unknown function (DUF4283)						DUF4283,zf-CCHC_4
NODE_833_length_1096_cov_0.760550_1	S	Reverse transcriptase (RNA-dependent DNA polymerase)						DUF4283,RVT_1,RVT_3,zf-RVT
NODE_835_length_1086_cov_0.808260_1	JKL	Retroviral aspartyl protease						RVP_2,RVT_1,Retrotrans_gag,zf-CCHC
NODE_844_length_1089_cov_0.954545_1	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_847_length_1088_cov_1.013848_1	L	gag-polypeptide of LTR copia-type						Retrotran_gag_2,rve
NODE_850_length_1085_cov_0.885913_1	D	Belongs to the helicase family						Helitron_like_N,Herpes_Helicase,PIF1
