#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
NODE_183_length_2134_cov_0.957240_1	218851.Aquca_041_00123.1	2.26E-169	504	"2CMBY@1|root,2QPXR@2759|Eukaryota,389NQ@33090|Viridiplantae,3GYUD@35493|Streptophyta"	35493|Streptophyta	S	FAR1 DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	"FAR1,MULE,SWIM"
NODE_184_length_2127_cov_2.847317_2	3649.evm.model.supercontig_151.40	3.58E-05	50.1	"2CM86@1|root,2QPKG@2759|Eukaryota,37T4G@33090|Viridiplantae,3G7A7@35493|Streptophyta"	35493|Streptophyta	S	Myb/SANT-like DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	Myb_DNA-bind_3
NODE_186_length_2097_cov_0.413947_1	161934.XP_010676986.1	1.01E-72	245	"COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae,3G8BW@35493|Streptophyta"	35493|Streptophyta	E	Uncharacterized protein K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,Retrotrans_gag,rve"
NODE_186_length_2097_cov_0.413947_2	90675.XP_010431341.1	7.52E-50	177	"COG2801@1|root,KOG0017@2759|Eukaryota,37RKH@33090|Viridiplantae,3GGZK@35493|Streptophyta,3HZ1D@3699|Brassicales"	35493|Streptophyta	L	"transposition, RNA-mediated"	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,Retrotrans_gag,rve"
NODE_187_length_2084_cov_0.929746_1	42345.XP_008777793.1	1.33E-144	433	"COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae,3G8BW@35493|Streptophyta,3KU9C@4447|Liliopsida"	35493|Streptophyta	L	Uncharacterized protein K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,Retrotrans_gag,rve"
NODE_187_length_2084_cov_0.929746_2	4098.XP_009592521.1	4.59E-51	180	"COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae,3G8BW@35493|Streptophyta"	35493|Streptophyta	E	Uncharacterized protein K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,rve"
NODE_188_length_2083_cov_1.706381_1	3750.XP_008384013.1	5.48E-54	202	"COG2801@1|root,KOG0017@2759|Eukaryota,37UEI@33090|Viridiplantae"	33090|Viridiplantae	L	8-hydroxy-dADP phosphatase activity	-	-	-	-	-	-	-	-	-	-	-	-	Retrotrans_gag
NODE_189_length_2082_cov_0.769576_1	57918.XP_004292841.1	3.89E-38	149	"KOG1584@1|root,KOG1584@2759|Eukaryota"	2759|Eukaryota	S	sulfotransferase activity	-	-	-	-	-	-	-	-	-	-	-	-	Sulfotransfer_1
NODE_192_length_2071_cov_0.986480_1	2711.XP_006486503.1	3.46E-166	528	"COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae,3G8BW@35493|Streptophyta"	35493|Streptophyta	E	Uncharacterized protein K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,Retrotrans_gag,rve"
NODE_197_length_2058_cov_1.691570_1	225117.XP_009359358.1	1.41E-16	81.6	"COG2801@1|root,KOG0017@2759|Eukaryota,37YXJ@33090|Viridiplantae,3GHMT@35493|Streptophyta"	35493|Streptophyta	L	Mitochondrial protein	-	-	-	ko:K13459	"ko04626,map04626"	-	-	-	"ko00000,ko00001"	-	-	-	"RVT_2,Retrotran_gag_2,Retrotran_gag_3"
NODE_200_length_2038_cov_0.682790_3	3750.XP_008385092.1	3.74E-24	107	"KOG1075@1|root,KOG1075@2759|Eukaryota,37TIF@33090|Viridiplantae,3G9IZ@35493|Streptophyta"	35493|Streptophyta	L	ribonuclease H protein	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,zf-RVT"
NODE_200_length_2038_cov_0.682790_4	3750.XP_008383873.1	2.55E-54	191	"KOG1075@1|root,KOG1075@2759|Eukaryota"	2759|Eukaryota	E	Ribonuclease H protein	-	-	-	ko:K03549	-	-	-	-	"ko00000,ko02000"	2.A.72	-	-	"RVT_1,RVT_3,zf-RVT"
NODE_202_length_2039_cov_0.435780_2	161934.XP_010683813.1	2.70E-144	446	"COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae,3G8BW@35493|Streptophyta"	35493|Streptophyta	E	Uncharacterized protein K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,Retrotrans_gag,rve"
NODE_210_length_2001_cov_2.836798_2	3750.XP_008381228.1	1.68E-10	64.3	"COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae,3G8BW@35493|Streptophyta,4JN0G@91835|fabids"	35493|Streptophyta	L	Uncharacterized protein K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,rve"
NODE_211_length_2000_cov_1.144566_1	4081.Solyc12g006100.1.1	1.72E-17	90.9	"COG0639@1|root,KOG0376@2759|Eukaryota,37IX0@33090|Viridiplantae,3GXM9@35493|Streptophyta"	35493|Streptophyta	T	Serine threonine-protein phosphatase 7 long form homolog	-	-	-	-	-	-	-	-	-	-	-	-	"Metallophos,PMD"
NODE_212_length_1996_cov_1.447629_1	90675.XP_010431016.1	4.79E-139	411	"28IUF@1|root,2QR5Z@2759|Eukaryota,37STI@33090|Viridiplantae,3GB85@35493|Streptophyta"	35493|Streptophyta	S	Ribosomal protein-like protein	-	-	-	-	-	-	-	-	-	-	-	-	Plant_tran
NODE_213_length_1992_cov_0.732637_1	161934.XP_010683813.1	6.81E-159	487	"COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae,3G8BW@35493|Streptophyta"	35493|Streptophyta	E	Uncharacterized protein K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,Retrotrans_gag,rve"
NODE_213_length_1992_cov_0.732637_2	981085.XP_010113489.1	8.16E-07	53.9	"COG0553@1|root,KOG0385@2759|Eukaryota,37HT7@33090|Viridiplantae,3GE6Y@35493|Streptophyta,4JM71@91835|fabids"	35493|Streptophyta	K	ATP-dependent DNA helicase	-	"GO:0000785,GO:0000786,GO:0003674,GO:0003678,GO:0003824,GO:0004003,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005694,GO:0006139,GO:0006259,GO:0006325,GO:0006342,GO:0006344,GO:0006346,GO:0006349,GO:0006355,GO:0006725,GO:0006807,GO:0006996,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0009292,GO:0009294,GO:0009889,GO:0009890,GO:0009892,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010604,GO:0010605,GO:0010629,GO:0010638,GO:0010639,GO:0016043,GO:0016458,GO:0016462,GO:0016569,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019219,GO:0019222,GO:0031056,GO:0031057,GO:0031058,GO:0031060,GO:0031062,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031399,GO:0031400,GO:0031401,GO:0032196,GO:0032197,GO:0032268,GO:0032269,GO:0032270,GO:0032392,GO:0032508,GO:0032991,GO:0032993,GO:0033043,GO:0033044,GO:0034641,GO:0035065,GO:0035067,GO:0040029,GO:0042623,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043412,GO:0044030,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044446,GO:0044464,GO:0044764,GO:0044815,GO:0045814,GO:0045892,GO:0045934,GO:0046483,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0051052,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051246,GO:0051247,GO:0051248,GO:0051252,GO:0051253,GO:0051276,GO:0051570,GO:0051574,GO:0051704,GO:0060255,GO:0065007,GO:0070035,GO:0071103,GO:0071514,GO:0071704,GO:0071840,GO:0080090,GO:0090239,GO:0090241,GO:0090304,GO:0140097,GO:1901360,GO:1901983,GO:1901984,GO:1902275,GO:1902679,GO:1903506,GO:1903507,GO:1905268,GO:1905269,GO:2000112,GO:2000113,GO:2000756,GO:2000757,GO:2001141,GO:2001251,GO:2001252"	-	ko:K19001	-	-	-	-	"ko00000,ko03036"	-	-	-	"Helicase_C,SNF2_N"
NODE_214_length_1982_cov_1.373753_1	218851.Aquca_117_00008.1	0.000343	47.4	"KOG1072@1|root,KOG1072@2759|Eukaryota,37PPB@33090|Viridiplantae,3GA9D@35493|Streptophyta"	35493|Streptophyta	S	Kelch-like protein	-	"GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005856,GO:0008150,GO:0008582,GO:0040008,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044087,GO:0044424,GO:0044464,GO:0045886,GO:0045926,GO:0048519,GO:0048523,GO:0048638,GO:0048640,GO:0050789,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0051093,GO:0051128,GO:0051129,GO:0051239,GO:0051241,GO:0051960,GO:0051961,GO:0051963,GO:0051964,GO:0065007,GO:0065008,GO:1904396,GO:1904397,GO:1905809,GO:2000026"	-	"ko:K10442,ko:K10443,ko:K10446,ko:K10450,ko:K10457"	-	-	-	-	"ko00000,ko04121"	-	-	-	"Dev_Cell_Death,Kelch_1"
NODE_218_length_1971_cov_0.957761_2	90675.XP_010496968.1	3.29E-199	588	"COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae,3G8BW@35493|Streptophyta"	35493|Streptophyta	E	Uncharacterized protein K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,Retrotrans_gag,rve"
NODE_220_length_1956_cov_2.603191_1	42345.XP_008785274.1	2.22E-47	168	"28JYJ@1|root,2QQ5I@2759|Eukaryota,37IVI@33090|Viridiplantae,3GG3D@35493|Streptophyta,3KPXJ@4447|Liliopsida"	35493|Streptophyta	K	Auxin response factors (ARFs) are transcriptional factors that bind specifically to the DNA sequence 5'-TGTCTC-3' found in the auxin-responsive promoter elements (AuxREs)	-	-	-	-	-	-	-	-	-	-	-	-	"Auxin_resp,B3"
NODE_230_length_1908_cov_0.795194_1	102107.XP_008227611.1	2.89E-22	102	"28HC0@1|root,2QPQD@2759|Eukaryota,37QN4@33090|Viridiplantae,3GHPB@35493|Streptophyta"	35493|Streptophyta	S	Zinc finger MYM-type protein	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4371,Dimer_Tnp_hAT"
NODE_232_length_1892_cov_1.205510_1	218851.Aquca_046_00033.1	9.12E-15	77	"KOG1075@1|root,KOG1075@2759|Eukaryota,37WW1@33090|Viridiplantae,3GM8X@35493|Streptophyta"	35493|Streptophyta	S	Domain of unknown function (DUF4283)	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4283,zf-CCHC_4"
NODE_234_length_1880_cov_0.886855_1	85681.XP_006452021.1	1.70E-14	73.2	"2CR55@1|root,2R6WR@2759|Eukaryota,387FC@33090|Viridiplantae,3GQY3@35493|Streptophyta"	35493|Streptophyta	S	A Receptor for Ubiquitination Targets	-	-	-	-	-	-	-	-	-	-	-	-	F-box
NODE_234_length_1880_cov_0.886855_2	4432.XP_010277951.1	2.83E-13	77	"2CXP5@1|root,2RYTW@2759|Eukaryota,37VJU@33090|Viridiplantae,3GIAJ@35493|Streptophyta"	35493|Streptophyta	S	LRR-repeat protein	-	-	-	-	-	-	-	-	-	-	-	-	"F-box,FBD"
NODE_238_length_1869_cov_3.876674_2	3750.XP_008384013.1	2.70E-47	183	"COG2801@1|root,KOG0017@2759|Eukaryota,37UEI@33090|Viridiplantae"	33090|Viridiplantae	L	8-hydroxy-dADP phosphatase activity	-	-	-	-	-	-	-	-	-	-	-	-	Retrotrans_gag
NODE_239_length_1866_cov_15.060369_1	57918.XP_004295618.1	3.22E-80	266	"COG2801@1|root,KOG0017@2759|Eukaryota,37RKH@33090|Viridiplantae"	33090|Viridiplantae	J	"transposition, RNA-mediated"	-	-	-	-	-	-	-	-	-	-	-	-	"Asp_protease_2,Retrotrans_gag"
NODE_240_length_1866_cov_0.891560_1	102107.XP_008236662.1	2.37E-27	115	"28PQ2@1|root,2QWCA@2759|Eukaryota,37NA7@33090|Viridiplantae,3GAAP@35493|Streptophyta,4JW3D@91835|fabids"	35493|Streptophyta	S	Zinc finger MYM-type protein 1-like	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4371,Dimer_Tnp_hAT"
NODE_240_length_1866_cov_0.891560_2	218851.Aquca_018_00056.1	2.55E-91	289	"28PQ2@1|root,2QWCA@2759|Eukaryota,37NA7@33090|Viridiplantae,3GAAP@35493|Streptophyta"	35493|Streptophyta	S	Zinc finger MYM-type protein	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4371,Dimer_Tnp_hAT"
NODE_242_length_1863_cov_1.249441_1	218851.Aquca_040_00075.1	3.91E-164	485	"28PWY@1|root,2QWJJ@2759|Eukaryota,37NQA@33090|Viridiplantae,3G8IQ@35493|Streptophyta"	35493|Streptophyta	S	source UniProtKB	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4216,DUF4218,Transpos_assoc,Transposase_21"
NODE_244_length_1858_cov_1.398091_1	3760.EMJ00753	6.69E-57	189	"2DBPH@1|root,2S5IF@2759|Eukaryota,37Z62@33090|Viridiplantae"	33090|Viridiplantae	S	Domain of unknown function (DUF4216)	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4216,DUF4218,Transpos_assoc"
NODE_244_length_1858_cov_1.398091_2	3659.XP_004161633.1	2.04E-59	194	"28PWY@1|root,2QWJJ@2759|Eukaryota,37NQA@33090|Viridiplantae,3G8IQ@35493|Streptophyta,4JGEH@91835|fabids"	35493|Streptophyta	S	source UniProtKB	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4216,DUF4218,Transpos_assoc,Transposase_21"
NODE_247_length_1849_cov_11.603837_2	3750.XP_008384013.1	3.12E-50	192	"COG2801@1|root,KOG0017@2759|Eukaryota,37UEI@33090|Viridiplantae"	33090|Viridiplantae	L	8-hydroxy-dADP phosphatase activity	-	-	-	-	-	-	-	-	-	-	-	-	Retrotrans_gag
NODE_248_length_1849_cov_0.886005_2	4577.GRMZM2G067450_P01	1.62E-10	63.9	"2CPAM@1|root,2S42M@2759|Eukaryota,37URA@33090|Viridiplantae,3GJ54@35493|Streptophyta,3M24A@4447|Liliopsida,3I2ZA@38820|Poales"	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"Transposase_23,Transposase_24"
NODE_254_length_1829_cov_0.533105_1	29730.Gorai.006G008600.1	2.08E-29	117	"COG0534@1|root,KOG1347@2759|Eukaryota,37QBI@33090|Viridiplantae,3GH0Y@35493|Streptophyta"	35493|Streptophyta	V	Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family	-	-	-	ko:K03327	-	-	-	-	"ko00000,ko02000"	2.A.66.1	-	-	MatE
NODE_256_length_1826_cov_1.995998_2	161934.XP_010676986.1	3.63E-223	646	"COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae,3G8BW@35493|Streptophyta"	35493|Streptophyta	E	Uncharacterized protein K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,Retrotrans_gag,rve"
NODE_257_length_1826_cov_1.520297_1	225117.XP_009345021.1	0.000622	45.8	"COG4886@1|root,2RZBH@2759|Eukaryota"	2759|Eukaryota	S	regulation of response to stimulus	-	-	-	-	-	-	-	-	-	-	-	-	"LRR_1,LRR_3,LRR_5,LRR_8,NB-ARC,TIR"
NODE_257_length_1826_cov_1.520297_2	29730.Gorai.001G164600.1	4.29E-90	277	"COG1007@1|root,KOG4668@2759|Eukaryota,37KKM@33090|Viridiplantae,3GCSG@35493|Streptophyta"	35493|Streptophyta	C	ATP synthesis coupled electron transport	nad2	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0016020,GO:0019866,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464"	1.6.5.3	ko:K03879	"ko00190,ko01100,ko04714,ko04723,ko05012,map00190,map01100,map04714,map04723,map05012"	M00142	R11945	RC00061	"ko00000,ko00001,ko00002,ko01000,ko03029"	3.D.1.6	-	-	Proton_antipo_M
NODE_258_length_1822_cov_0.785100_1	161934.XP_010677765.1	1.54E-35	150	"COG2801@1|root,KOG0017@2759|Eukaryota,37MKC@33090|Viridiplantae,3GHQ7@35493|Streptophyta"	35493|Streptophyta	L	Reverse transcriptase (RNA-dependent DNA polymerase)	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,Retrotrans_gag,rve"
NODE_259_length_1818_cov_4.910448_1	3694.POPTR_0014s01050.1	5.65E-27	113	"COG2801@1|root,KOG0017@2759|Eukaryota,37RRH@33090|Viridiplantae,3G8MV@35493|Streptophyta,4JM10@91835|fabids"	35493|Streptophyta	H	"transposition, RNA-mediated"	-	-	-	-	-	-	-	-	-	-	-	-	"Asp_protease_2,Chromo,RVT_1,Retrotrans_gag,gag-asp_proteas,rve"
NODE_260_length_1802_cov_0.993623_1	218851.Aquca_050_00057.1	1.53E-13	72	"2EZIS@1|root,2T0V9@2759|Eukaryota,38292@33090|Viridiplantae,3GRTX@35493|Streptophyta"	218851.Aquca_050_00057.1|-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NODE_261_length_1798_cov_1.289948_1	218851.Aquca_089_00017.1	2.79E-69	230	"COG0507@1|root,KOG0987@2759|Eukaryota"	2759|Eukaryota	L	G-quadruplex DNA unwinding	-	-	3.6.4.12	ko:K15255	-	-	-	-	"ko00000,ko01000,ko03029,ko03032"	-	-	-	"Helitron_like_N,Herpes_Helicase,PIF1"
NODE_261_length_1798_cov_1.289948_2	218851.Aquca_016_00041.1	2.11E-53	180	"COG0507@1|root,KOG0987@2759|Eukaryota"	2759|Eukaryota	L	G-quadruplex DNA unwinding	-	-	3.6.4.12	ko:K15255	-	-	-	-	"ko00000,ko01000,ko03029,ko03032"	-	-	-	"Helitron_like_N,Herpes_Helicase,PIF1"
NODE_262_length_1797_cov_1.729070_1	2711.XP_006480458.1	2.29E-213	629	"28PWY@1|root,2QWJJ@2759|Eukaryota,37NQA@33090|Viridiplantae,3G852@35493|Streptophyta"	35493|Streptophyta	S	transposon protein	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4216,DUF4218,Transpos_assoc,Transposase_21"
NODE_264_length_1775_cov_1.395171_1	3847.GLYMA15G21391.1	5.96E-10	64.3	"28ZYQ@1|root,2R6TI@2759|Eukaryota,37R3C@33090|Viridiplantae,3GH9I@35493|Streptophyta,4JTZV@91835|fabids"	35493|Streptophyta	L	"DNA polymerase type B, organellar and viral"	-	-	-	-	-	-	-	-	-	-	-	-	DNA_pol_B_2
NODE_267_length_1768_cov_1.484329_1	218851.Aquca_041_00123.1	4.19E-151	454	"2CMBY@1|root,2QPXR@2759|Eukaryota,389NQ@33090|Viridiplantae,3GYUD@35493|Streptophyta"	35493|Streptophyta	S	FAR1 DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	"FAR1,MULE,SWIM"
NODE_268_length_1766_cov_2.142096_1	5297.GMQ_06714T0	3.98E-46	164	"28IUF@1|root,2QR5Z@2759|Eukaryota"	5297.GMQ_06714T0|-	S	Plant transposon protein	-	-	-	-	-	-	-	-	-	-	-	-	-
NODE_268_length_1766_cov_2.142096_3	5297.GMQ_16202T0	1.24E-45	162	"28IUF@1|root,2QR5Z@2759|Eukaryota"	5297.GMQ_16202T0|-	S	Plant transposon protein	-	-	-	-	-	-	-	-	-	-	-	-	-
NODE_271_length_1760_cov_17.881165_1	3750.XP_008363369.1	1.44E-217	656	"COG2801@1|root,KOG0017@2759|Eukaryota,37RKH@33090|Viridiplantae,3GGZK@35493|Streptophyta"	35493|Streptophyta	L	strictosidine synthase activity	-	-	-	-	-	-	-	-	-	-	-	-	"Asp_protease_2,RVT_1,Retrotrans_gag,rve"
NODE_272_length_1759_cov_0.708680_1	57918.XP_004304830.1	9.25E-122	365	"2E57Y@1|root,2SC27@2759|Eukaryota,37Y9K@33090|Viridiplantae,3GHQI@35493|Streptophyta"	35493|Streptophyta	S	Protein FAR1-RELATED SEQUENCE 5-like	-	-	-	ko:K17604	-	-	-	-	"ko00000,ko01009"	-	-	-	"FAR1,MULE,SWIM"
NODE_272_length_1759_cov_0.708680_2	85681.XP_006428864.1	1.02E-40	154	"2E57Y@1|root,2SC27@2759|Eukaryota,37Y9K@33090|Viridiplantae,3GHQI@35493|Streptophyta"	35493|Streptophyta	S	Protein FAR1-RELATED SEQUENCE 5-like	-	-	-	ko:K17604	-	-	-	-	"ko00000,ko01009"	-	-	-	"FAR1,MULE,SWIM"
NODE_275_length_1752_cov_1.771940_1	4558.Sb06g013670.1	5.09E-18	90.9	"28Q0M@1|root,2QWP8@2759|Eukaryota,37SGC@33090|Viridiplantae,3G8GC@35493|Streptophyta,3M5UW@4447|Liliopsida,3IKTY@38820|Poales"	35493|Streptophyta	S	Zinc knuckle family protein	-	-	-	-	-	-	-	-	-	-	-	-	"MP,RVP,zf-CCHC"
NODE_280_length_1735_cov_2.065742_2	3988.XP_002535554.1	1.63E-62	211	"COG0056@1|root,KOG1353@2759|Eukaryota,37JWW@33090|Viridiplantae,3G9FP@35493|Streptophyta,4JSJY@91835|fabids"	35493|Streptophyta	C	ATP synthase	atp1	-	-	ko:K02132	"ko00190,ko01100,ko04714,ko05010,ko05012,ko05016,map00190,map01100,map04714,map05010,map05012,map05016"	M00158	-	-	"ko00000,ko00001,ko00002"	3.A.2.1	-	-	"ATP-synt_ab,ATP-synt_ab_C,ATP-synt_ab_N"
NODE_282_length_1732_cov_1.265861_1	57918.XP_004289345.1	2.07E-98	300	"2CMNZ@1|root,2QR4C@2759|Eukaryota,37R7C@33090|Viridiplantae,3GEJS@35493|Streptophyta,4JFXG@91835|fabids"	35493|Streptophyta	S	Protein FAR1-RELATED SEQUENCE 5-like	-	-	-	-	-	-	-	-	-	-	-	-	"FAR1,MULE,SWIM"
NODE_282_length_1732_cov_1.265861_2	2711.XP_006485147.1	2.30E-10	66.6	"COG2801@1|root,COG3325@1|root,KOG0017@2759|Eukaryota,KOG2806@2759|Eukaryota,37JGR@33090|Viridiplantae,3GBEE@35493|Streptophyta"	35493|Streptophyta	T	Cysteine-rich receptor-like protein kinase	-	-	3.2.1.14	ko:K01183	"ko00520,ko01100,map00520,map01100"	-	"R01206,R02334"	RC00467	"ko00000,ko00001,ko01000"	-	GH18	-	"Glyco_hydro_18,Pkinase,Pkinase_Tyr"
NODE_283_length_1729_cov_0.608459_1	218851.Aquca_086_00027.1	5.03E-48	171	"2EW0C@1|root,2SXWT@2759|Eukaryota"	2759|Eukaryota	S	MuDR family transposase	-	-	-	-	-	-	-	-	-	-	-	-	"DBD_Tnp_Mut,MULE,SWIM"
NODE_283_length_1729_cov_0.608459_2	161934.XP_010680885.1	1.46E-12	70.5	"2CN5X@1|root,2QU1T@2759|Eukaryota,37T40@33090|Viridiplantae,3GGBN@35493|Streptophyta"	35493|Streptophyta	-	-	-	-	-	ko:K17086	-	-	-	-	"ko00000,ko04147"	-	-	-	"DBD_Tnp_Mut,MULE,SWIM"
NODE_285_length_1726_cov_9.935758_1	90675.XP_010501997.1	8.66E-25	105	"KOG1075@1|root,KOG1075@2759|Eukaryota"	2759|Eukaryota	E	Ribonuclease H protein	-	-	-	-	-	-	-	-	-	-	-	-	RVT_1
NODE_287_length_1724_cov_0.527019_1	161934.XP_010667255.1	1.51E-52	180	"KOG1075@1|root,KOG1075@2759|Eukaryota"	2759|Eukaryota	E	Ribonuclease H protein	-	-	-	-	-	-	-	-	-	-	-	-	"Exo_endo_phos,Exo_endo_phos_2,RVT_1"
NODE_287_length_1724_cov_0.527019_2	3694.POPTR_0008s00210.1	6.44E-44	165	"KOG1075@1|root,KOG1075@2759|Eukaryota,37TIF@33090|Viridiplantae,3G9IZ@35493|Streptophyta,4JJZN@91835|fabids"	35493|Streptophyta	S	Reverse transcriptase (RNA-dependent DNA polymerase)	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4283,RVT_1,RVT_3,zf-RVT"
NODE_297_length_1703_cov_0.742312_1	218851.Aquca_061_00095.1	2.15E-41	153	"COG0507@1|root,KOG0987@2759|Eukaryota,37I5H@33090|Viridiplantae,3GC0A@35493|Streptophyta"	35493|Streptophyta	D	Belongs to the helicase family	-	-	3.6.4.12	ko:K15255	-	-	-	-	"ko00000,ko01000,ko03029,ko03032"	-	-	-	"Helitron_like_N,PIF1"
NODE_299_length_1691_cov_0.698765_1	218851.Aquca_036_00049.1	5.27E-40	141	"KOG1075@1|root,KOG1075@2759|Eukaryota,387FP@33090|Viridiplantae,3GQIA@35493|Streptophyta"	35493|Streptophyta	S	Domain of unknown function (DUF4283)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4283
NODE_299_length_1691_cov_0.698765_2	218851.Aquca_022_00093.1	4.66E-07	58.5	"KOG1075@1|root,KOG1075@2759|Eukaryota,37W7C@33090|Viridiplantae,3GKCZ@35493|Streptophyta"	35493|Streptophyta	K	Domain of unknown function (DUF4283)	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4283,zf-CCHC_4"
NODE_300_length_1690_cov_0.833850_1	42345.XP_008813713.1	1.62E-35	139	"2B0N1@1|root,2S089@2759|Eukaryota,37V54@33090|Viridiplantae,3GIVZ@35493|Streptophyta,3KPBJ@4447|Liliopsida"	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"F-box,FBA_3"
NODE_308_length_1675_cov_0.660200_1	102107.XP_008238333.1	1.49E-94	285	"28ZQM@1|root,2R6J9@2759|Eukaryota,388WG@33090|Viridiplantae,3GXNE@35493|Streptophyta,4JTIM@91835|fabids"	35493|Streptophyta	S	Zinc finger MYM-type protein 1-like	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4371,Dimer_Tnp_hAT"
NODE_310_length_1672_cov_0.677116_2	102107.XP_008222771.1	8.41E-23	98.2	"COG2801@1|root,COG3897@1|root,KOG0017@2759|Eukaryota,KOG2920@2759|Eukaryota,37N6N@33090|Viridiplantae,3G7JD@35493|Streptophyta,4JH7F@91835|fabids"	35493|Streptophyta	L	Histidine protein methyltransferase 1 homolog	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_16
NODE_311_length_1669_cov_1.123116_1	3827.XP_004494940.1	4.52E-115	368	"28PWY@1|root,2QWJJ@2759|Eukaryota,37NQA@33090|Viridiplantae,3G852@35493|Streptophyta,4JRXS@91835|fabids"	35493|Streptophyta	S	Transposase family tnp2	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4216,DUF4218,Transpos_assoc,Transposase_21"
NODE_312_length_1665_cov_0.658690_1	225117.XP_009352370.1	2.92E-12	73.6	"28IQJ@1|root,2QR1U@2759|Eukaryota,37TIN@33090|Viridiplantae,3GCSY@35493|Streptophyta"	35493|Streptophyta	S	Plant mobile domain	-	-	-	-	-	-	-	-	-	-	-	-	"DUF1985,PMD"
